0,1,2,3,4,5,6
29.0,-4.16,19.85,0.39,17,2,17
25.24,-11.19,19.57,0.44,17,2,18
-10.0,2.22,-19.2,0.34,17,2,19
-10.0,6.1,-14.44,0.34,17,2,20
29.0,-3.6,19.85,0.44,17,2,21
28.76,-9.92,19.85,0.39,17,2,22
-10.0,2.35,-19.2,0.48,17,2,23
-10.0,8.19,-16.12,0.39,17,2,24
28.59,-3.72,19.85,0.34,17,2,26
-9.74,-3.79,-12.63,0.48,17,2,27
-10.0,4.38,-19.2,0.48,17,2,28
-10.0,7.99,-15.32,0.39,17,2,29
29.0,-5.14,19.85,0.39,17,2,30
29.0,-9.11,19.85,0.39,17,2,31
-10.0,5.12,-19.2,0.44,17,2,32
-10.0,6.78,-16.37,0.39,17,2,33
29.0,-3.69,19.85,0.24,17,2,34
29.0,-8.12,19.85,0.39,17,2,35
23.29,-3.36,17.13,0.44,17,2,36
-10.0,6.95,-19.14,0.39,17,2,37
29.0,-5.77,19.85,0.34,17,2,38
29.0,-8.71,19.85,0.48,17,2,39
-10.0,2.06,-19.2,0.44,17,2,40
-10.0,5.39,-19.2,0.39,17,2,41
3.01,-0.42,3.25,0.44,17,2,42
27.96,-11.83,19.85,0.39,17,2,43
-10.0,3.76,-19.2,0.39,17,2,44
-10.0,4.5,-19.2,0.34,17,2,45
21.55,-1.14,19.0,0.39,17,2,46
26.0,-4.19,19.85,0.48,17,2,47
-10.0,5.23,-19.2,0.34,17,2,48
-10.0,8.87,-19.2,0.44,17,2,49
29.0,-3.22,19.85,0.39,17,2,50
29.0,-8.7,19.85,0.44,17,2,51
-10.0,4.36,-19.2,0.39,17,2,52
-10.0,7.35,-19.2,0.34,17,2,53
29.0,-6.28,19.85,0.34,17,2,54
28.01,-8.58,19.85,0.39,17,2,55
-10.0,2.23,-19.2,0.34,17,2,56
-10.0,5.25,-19.2,0.39,17,2,58
3.87,-2.85,3.54,0.39,17,2,59
29.0,-9.73,19.85,0.29,17,3,0
-10.0,3.42,-19.2,0.39,17,3,1
-10.0,5.49,-19.2,0.44,17,3,2
29.0,-3.15,19.85,0.39,17,3,3
29.0,-10.83,19.85,0.39,17,3,4
-10.0,3.48,-19.2,0.34,17,3,5
-10.0,1.25,-19.2,0.44,17,3,6
-10.0,5.1,-19.2,0.44,17,3,7
26.85,-4.08,19.85,0.39,17,3,8
-10.0,4.84,-19.2,0.34,17,3,9
-10.0,11.72,-19.2,0.39,17,3,10
